병원코드,병원명,주소,응급연락처,위도,경도,응급실수,수술실수,자치구,가용응급실수,가용수술실수,뇌출혈,뇌경색,심근경색,복부손상,사지접합,응급투석,조산산모,신생아,중증화상,응급실가용율,응급실포화도
A1500021,광주기독병원,광주광역시 남구 양림로 37 (양림동),062-650-5119,35.136682861070376,126.91198438867642,23,8,광주광역시,8.0,5.0,Y,Y,Y,Y,N,N0,N0,N0,Y,0.34782608695652173,보통
A1500004,광주보훈병원,광주광역시 광산구 첨단월봉로 99 (산월동),062-602-6119,35.207797211036485,126.84947860623932,16,8,광주광역시,12.0,7.0,Y,N,N,N,N,N,N,N,N,0.75,원활
A1500018,광주수완병원,광주광역시 광산구 임방울대로 370 (수완동),062-958-1119,35.19303617477934,126.82420927535313,10,3,광주광역시,9.0,2.0,N,N,N,N,N,N,N,N,N,0.9,원활
A1500009,광주씨티병원,광주광역시 남구 서문대로654번길 5 (진월동),062-460-7119,35.11776253778263,126.8995475485602,10,4,광주광역시,9.0,4.0,N,N,N,Y,N,Y,N,N,N,0.9,원활
A2600061,구례병원,전라남도 구례군 구례읍 동편제길 4,061-780-3200,35.215900947788214,127.46406009751604,10,1,전라남도,9.0,1.0,N,N,N,N,N,N,N,N,N,0.9,원활
A2700015,구미강동병원,경상북도 구미시 인동20길 46 (진평동),054-478-9521,36.096198858616575,128.42297791647263,10,5,경상북도,6.0,5.0,N,N,Y,Y,N,N,N,N,N,0.6,보통
A2100049,국립암센터,경기도 고양시 일산동구 일산로 323 (마두동),031-920-0119,37.664170778165285,126.78327945120732,25,15,경기도,0.0,8.0,N,N,N,N,N,N,N,N,N,0.0,불가
A2100033,국민건강보험공단일산병원,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",031-900-0761,37.64530592402248,126.792204040477,33,18,경기도,1.0,13.0,Y,Y,Y,Y,N,Y,Y,N,Y,0.030303030303030304,불가
A2200038,근로복지공단동해병원,"강원도 동해시 하평로 11-  (평릉동, (평릉동))",033-530-3119,37.53232311891651,129.1058560226859,9,2,강원도,6.0,2.0,N,N,N,N,N,N,N,N,N,0.6666666666666666,원활
A1300038,나사렛종합병원,"대구광역시 달서구 월배로 97, 나사렛병원 (진천동)",053-643-3119,35.8147002604042,128.525094795643,11,5,대구광역시,7.0,4.0,Y,Y,Y,Y,N,Y,Y,N,Y,0.6363636363636364,원활
A2600016,나주종합병원,전라남도 나주시 영산로 5419 (성북동),061-330-6112,35.03640277777778,126.72143611111112,10,2,전라남도,8.0,1.0,N,N,N,N,N,Y,N,N,Y,0.8,원활
A2400002,단국대학교의과대학부속병원,"충청남도 천안시 동남구 망향로 201 (안서동, 단국대학교의과대학부속병원)",041-550-6840,36.84295215169462,127.17327537305154,29,13,충청남도,13.0,8.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.4482758620689655,보통
A2600054,담양사랑병원,전라남도 담양군 담양읍 천변7길 19,061-380-9119,35.31524596036869,126.98263077003996,6,2,전라남도,6.0,2.0,N,N,N,N,N,N,N,N,N,1.0,원활
A2400008,당진종합병원,충청남도 당진시 반촌로 5-15 (시곡동),070-7332-8248,36.90439755063778,126.68435813411776,20,4,충청남도,13.0,3.0,N,N,N,N,N,N,N,N,Y,0.65,원활
A1300004,대구가톨릭대학교병원,대구광역시 남구 두류공원로17길 33 (대명동),053-650-3025,35.843065593522674,128.56742621424615,24,18,대구광역시,0.0,12.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.0,불가
A1300076,대구굿모닝병원,대구광역시 남구 성당로 224 (대명동),053-620-9119,35.85296709243215,128.5740666762668,7,2,대구광역시,8.0,2.0,N,Y,Y,Y,N,N,N,N,N,1.0,원활
A1200018,대동병원,부산광역시 동래구 충렬대로 187 (명륜동),051-550-9391,35.204273174435535,129.08021549527504,21,6,부산광역시,11.0,5.0,Y,N,N,Y,N,Y,N0,N0,N0,0.5238095238095238,보통
A1600004,대전보훈병원,대전광역시 대덕구 대청로82번길 147 (신탄진동),042-939-0100,36.4469365928189,127.43940812262,9,5,대전광역시,5.0,5.0,N,N,N,N,N,N,N,N,N,0.5555555555555556,보통
A1600003,대전한국병원,대전광역시 동구 동서대로 1672 (성남동),042-606-1119,36.34831776122198,127.43575049626224,10,4,대전광역시,5.0,4.0,Y,Y,Y,Y,N,Y,N,Y,Y,0.5,보통
A1602246,대청병원,"대전광역시 서구 계백로 1322 (정림동, 대청병원)",042-589-0119,36.308286328996566,127.37055327992432,10,3,대전광역시,8.0,3.0,N,N,N,N,N,N,N,N,N,0.8,원활
A1300110,더블유병원,대구광역시 달서구 달구벌대로 1632 (감삼동),053-550-5019,35.85264247289801,128.54496871658273,10,8,대구광역시,8.0,4.0,N,N,N,N,N,N,N,N,N,0.8,원활
A2700003,동국대학교의과대학경주병원,경상북도 경주시 동대로 87 (석장동),054-770-8306,35.85839884416154,129.19669937927446,17,5,경상북도,10.0,5.0,N0,Y,Y,Y,N,N0,N,N,Y,0.5882352941176471,보통
A2100047,동국대학교일산불교병원,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",031-961-7777,37.67643677699999,126.8055658392,30,12,경기도,0.0,7.0,Y,N,N,N,Y,Y,Y,Y,Y,0.0,불가
A1200015,동남권원자력의학원,부산광역시 기장군 장안읍 좌동길 40,051-720-5911,35.321418988977406,129.24364922146094,10,6,부산광역시,8.0,6.0,N,Y,Y,Y,N,Y,Y,N,Y,0.8,원활
A1200011,동래봉생병원,부산광역시 동래구 안연로109번길 27 (안락동),051-520-5600,35.19694647632553,129.0961666077834,10,5,부산광역시,6.0,5.0,N,N,N,N,N,N,N,N,N,0.6,보통
A1500013,동아병원,광주광역시 남구 대남대로 238 (백운동),062-650-2515,35.1347601218069,126.89990593135208,10,6,광주광역시,9.0,6.0,N,N,N,Y,N,N,N,N,N,0.9,원활
A1300034,드림종합병원,대구광역시 남구 대명로 153 (대명동),053-640-8575,35.8396345121582,128.5743546304414,10,3,대구광역시,8.0,2.0,N,N,N,N,N,Y,Y,Y,Y,0.8,원활
A1100036,부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",02-2620-0119,37.55694089289359,126.8509495053918,10,5,서울특별시,8.0,4.0,N,N,N,N,N,N,N,N,N,0.8,원활
A1200013,부산성모병원(재단법인천주교부산교구유지재단),부산광역시 남구 용호로232번길 25-14 (용호동),051-933-7119,35.110457328247016,129.10919202844133,19,8,부산광역시,7.0,6.0,Y,N,N,N,N,Y,N0,Y,N0,0.3684210526315789,보통
A2500010,부안성모병원,전라북도 부안군 부안읍 오정2길 24,063-580-8119,35.72481539925256,126.73452574138332,12,3,전라북도,10.0,3.0,N,N,N,N,N,N,N,N,N,0.8333333333333334,원활
A1100010,삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",02-3410-2060,37.48851613490445,127.08668245340024,71,56,서울특별시,0.0,21.0,Y,Y,Y,Y,Y,Y,N,Y,Y,0.0,불가
A1300045,삼일병원,"대구광역시 달서구 월배로 436, 지하1,지상1~11층 (송현동)",053-659-3119,35.8327479530047,128.5538551132049,10,2,대구광역시,11.0,3.0,N,Y,Y,Y,N,Y,Y,Y,Y,1.0,원활
A2400003,서산중앙병원,충청남도 서산시 수석산업로 5 (수석동),041-661-1195,36.78101237096687,126.50342177166652,13,3,충청남도,8.0,3.0,N,Y,N,Y,N,Y,N,N,Y,0.6153846153846154,원활
A1700001,서울산보람병원,"울산광역시 울주군 삼남읍 중평로 53, 서울산보람병원",052-255-7119,35.55991148325753,129.12071299840133,10,3,울산광역시,10.0,2.0,N,N,N,Y,N,N,N,N,Y,1.0,원활
A1100028,성심의료재단강동성심병원,서울특별시 강동구 성안로 150 (길동),02-2224-2358,37.53598408220376,127.13526354631516,22,12,서울특별시,3.0,9.0,Y,Y,Y,Y,Y,Y,Y,N,Y,0.13636363636363635,혼잡
A2700013,순천향대학교 부속 구미병원,경상북도 구미시 1공단로 179 (공단동),054-468-9119,36.10286857919866,128.38265476387454,20,6,경상북도,4.0,4.0,Y,Y,Y,Y,N,Y,Y,N,Y,0.2,혼잡
A1500006,신가병원,광주광역시 광산구 목련로 316 (신가동),062-610-8119,35.177619444444446,126.8298,10,3,광주광역시,7.0,3.0,N,N,N,N,N,N,N,N,N,0.7,원활
A2402257,아산충무병원,충청남도 아산시 문화로 381 (모종동),041-536-6519,36.77929250489765,127.0199488549524,13,3,충청남도,11.0,2.0,Y,Y,Y,Y,N,Y,Y,Y,Y,0.8461538461538461,원활
A1100015,연세대학교의과대학강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3333,37.49280698464548,127.04631254186796,28,23,서울특별시,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,N,Y,0.0,불가
A1300001,영남대학교병원,대구광역시 남구 현충로 170 (대명동),053-620-3177,35.84750592025217,128.58513118547506,30,19,대구광역시,0.0,15.0,Y,Y,Y,Y,Y,N,Y,N,Y,0.0,불가
A1700003,울산병원,울산광역시 남구 월평로171번길 13 (신정동),052-259-5119,35.54621707569275,129.32309962689618,9,3,울산광역시,15.0,4.0,Y,Y,Y,Y,N,Y,Y,Y,Y,1.0,원활
A2500001,원광대학교병원,전라북도 익산시 무왕로 895 (신동),063-859-1165,35.9642419612473,126.959306346821,35,15,전라북도,0.0,11.0,Y,Y,N,N,N,Y,Y,Y,Y,0.0,불가
A2700019,의)근원의료재단경산중앙병원,경상북도 경산시 경안로 11 (백천동),053-715-0119,35.80882731345708,128.7401572913474,12,4,경상북도,6.0,4.0,N,N,N,N,N,N,N,N,N,0.5,보통
A1400001,의료법인 길의료재단 길병원,"인천광역시 남동구 남동대로774번길 21 (구월동, 가천대학교길병원)",032-460-3012,37.45208024654252,126.70916173607196,31,28,인천광역시,0.0,12.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.0,불가
A2200003,의료법인 동해동인병원,"강원도 동해시 하평로 26-  (평릉동, (평릉동))",033-530-0129,37.530006805605616,129.1074043067605,10,2,강원도,0.0,1.0,N,N,N,N,N,N,N,N,N,0.0,불가
A2800022,의료법인 성념의료재단맑은샘병원,경상남도 거제시 연초면 거제대로 4477,055-736-0119,34.89793483097861,128.64371778461182,10,2,경상남도,7.0,2.0,N,N,N,N,N,Y,Y,N,N,0.7,원활
A2600024,의료법인 현경의료재단 광양서울병원,전라남도 광양시 진등길 93 (마동),061-798-9819,34.957912006875524,127.69055714590516,10,3,전라남도,6.0,3.0,N,N,N,N,N,N,N,N,N,0.6,보통
A2900003,의료법인 혜인의료재단 한국병원,제주특별자치도 제주시 서광로 193 (삼도일동),064-750-0160,33.500185921027,126.51698873048466,10,2,제주특별자치도,6.0,3.0,N,N,N,Y,N,Y,N,N,Y,0.6,보통
A2800014,의료법인갑을의료재단갑을장유병원,경상남도 김해시 장유로 167-13 (부곡동),055-310-6119,35.208667155880995,128.80564300531228,20,4,경상남도,8.0,4.0,N,N,N,N,N,Y,Y,N,Y,0.4,보통
A2200005,의료법인강릉동인병원,강원도 강릉시 강릉대로419번길 42 (포남동),033-650-6105,37.77432579461282,128.90714180258507,20,5,강원도,12.0,5.0,Y,N,N,Y,N,N,N,N,N,0.6,보통
A2800008,의료법인거붕백병원,경상남도 거제시 계룡로5길 14 (상동동),055-733-0180,34.873675809023304,128.62605696825915,11,4,경상남도,8.0,3.0,N,N,N,N,N,Y,N,N,Y,0.7272727272727273,원활
A2300013,의료법인건명의료재단중앙제일병원,충청북도 진천군 진천읍 중앙북로 36,043-537-9119,36.85848747628605,127.44050791116804,15,5,충청북도,9.0,5.0,N,N,N,N,N,N,N,N,N,0.6,보통
A2700070,의료법인고령영생병원,경상북도 고령군 대가야읍 중앙로 33 의료법인영암의료재단고령영생병원,070-7475-0024,35.72995531573922,128.27201138885076,8,1,경상북도,4.0,1.0,N,N,N,N,N,N,N,N,N,0.5,보통
A1200009,의료법인광혜의료재단광혜병원,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",051-590-3399,35.207033333333335,129.07113611111112,10,3,부산광역시,8.0,3.0,N,N,N,N,N,Y,N,N,N,0.8,원활
A1300006,의료법인구의료재단구병원,대구광역시 달서구 감삼북길 141 (감삼동),053-557-7119,35.85082313699737,128.54148303217696,11,8,대구광역시,8.0,3.0,N,N,N,N,N,Y,N,N,N,0.7272727272727273,원활
A2300034,의료법인대광의료재단괴산성모병원,충청북도 괴산군 괴산읍 임꺽정로 116,043-830-5411,36.81544387632933,127.78424628538971,10,1,충청북도,9.0,0.0,N,N,N,N,N,N,N,N,N,0.9,원활
A2800005,의료법인대우의료재단대우병원,경상남도 거제시 두모길 16 (두모동),055-680-8119,34.87222152119712,128.72216421007292,11,4,경상남도,6.0,3.0,N,N,N,Y,N,Y,N,Y,Y,0.5454545454545454,보통
A1700002,의료법인동강의료재단동강병원,울산광역시 중구 태화로 239 (태화동),052-241-1190,35.55340950863559,129.30194290200075,28,7,울산광역시,18.0,5.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.6428571428571429,원활
A2700006,의료법인동춘의료재단문경제일병원,경상북도 문경시 당교3길 25 (모전동),054-550-7777,36.5848214366,128.189771534,20,3,경상북도,14.0,3.0,N,N,N,Y,N,Y,Y,N,Y,0.7,원활
A2300009,의료법인명지의료재단명지병원,"충청북도 제천시 내토로 991 (고암동, 의료법인 명지의료재단 명지병원)",043-640-8117,37.1630057642892,128.23405656001103,10,3,충청북도,5.0,3.0,Y,N,N,Y,N,Y,N,N,Y,0.5,보통
A2100042,의료법인명지의료재단명지병원,경기도 고양시 덕양구 화수로14번길 55 (화정동),031-810-7119,37.64207169115689,126.83145733035823,15,8,경기도,8.0,10.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.5333333333333333,보통
A2400009,의료법인백제병원,충청남도 논산시 시민로294번길 14 (취암동),041-730-8888,36.19250243074026,127.09436976296004,22,4,충청남도,17.0,4.0,Y,N,N,Y,N,N,N,N,Y,0.7727272727272727,원활
A2800016,의료법인보원의료재단경희대학교교육협력중앙병원,경상남도 김해시 분성로 94-8 (외동),055-330-6117,35.23073088469519,128.85699580694668,21,9,경상남도,14.0,9.0,Y,Y,Y,Y,N,Y,Y,Y,Y,0.6666666666666666,원활
A2700036,의료법인서명의료재단세명병원,경상북도 경산시 경안로 208 (중방동),053-819-8500,35.82621911080917,128.7374074375532,18,5,경상북도,9.0,4.0,N,N,N,Y,N,N,N,N,N,0.5,보통
A1100041,의료법인서울효천의료재단 에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",070-4665-9119,37.48427507045319,126.93253922577289,21,6,서울특별시,12.0,6.0,Y,Y,Y,Y,N,Y,Y,N,Y,0.5714285714285714,보통
A2500009,의료법인석천재단고창병원,전라북도 고창군 고창읍 화신1길 9,063-560-5558,35.43645131091079,126.69331814963527,10,2,전라북도,9.0,2.0,N,N,N,N,N,N,N,N,N0,0.9,원활
A1400007,의료법인성수의료재단인천백병원,인천광역시 동구 샛골로 214 (송림동),032-280-8118,37.4772581429266,126.648504056866,5,4,인천광역시,4.0,2.0,N,N,Y,Y,N,Y,Y,N,Y,0.8,원활
A1700025,의료법인송은의료재단울산시티병원,울산광역시 북구 산업로 1007 (연암동),052-280-9119,35.58285370330335,129.35905740278503,10,7,울산광역시,6.0,4.0,N,N,N,Y,N,Y,N,N,Y,0.6,보통
A2800006,의료법인숭인의료재단김해복음병원,경상남도 김해시 활천로 33 (삼정동),055-330-8844,35.2304897832,128.8935457971,11,3,경상남도,12.0,5.0,Y,N,N,Y,N,Y,N,Y,Y,1.0,원활
A2600018,의료법인영성의료재단고흥종합병원,전라남도 고흥군 고흥읍 고흥로 1935,061-830-3118,34.620393082853,127.293713733344,10,3,전라남도,10.0,3.0,N,N,N,N,N,N,N,N,N,1.0,원활
A1600008,의료법인영훈의료재단대전선병원,"대전광역시 중구 목중로 29 (목동, 선병원)",042-220-8129,36.3359621088938,127.41011056508802,21,7,대전광역시,1.0,4.0,N,N,N,N,N,Y,N,N,N,0.047619047619047616,불가
A1600007,의료법인영훈의료재단유성선병원,대전광역시 유성구 북유성대로 93 (지족동),042-609-1119,36.37535496572087,127.32491359339664,20,6,대전광역시,14.0,6.0,Y,Y,Y,Y,N,Y,Y,N,Y,0.7,원활
A2500012,의료법인오성의료재단동군산병원,전라북도 군산시 조촌로 149 (조촌동),063-440-0515,35.97740074466571,126.73719225835914,24,6,전라북도,15.0,6.0,Y,Y,Y,Y,N,Y,Y,N,Y,0.625,원활
A1200020,의료법인온그룹의료재단온종합병원,"부산광역시 부산진구 가야대로 721, 719, 767 (당감동)",051-607-0139,35.15787735996765,129.04998435792845,30,6,부산광역시,15.0,9.0,Y,Y,Y,Y,N,Y,Y,N,Y,0.5,보통
A1700011,의료법인은성의료재단좋은삼정병원,울산광역시 남구 북부순환도로 51 (무거동),052-220-7600,35.55282641650826,129.26899792409964,10,5,울산광역시,9.0,1.0,Y,N,N,N,N,Y,Y,N,Y,0.9,원활
A1400014,의료법인인성의료재단한림병원,인천광역시 계양구 장제로 722 (작전동),032-540-9119,37.53218449100167,126.73435495537971,21,6,인천광역시,14.0,4.0,Y,Y,Y,Y,N,Y,Y,Y,Y,0.6666666666666666,원활
A2300007,의료법인인화재단한국병원,충청북도 청주시 상당구 단재로 106 (영운동),043-222-6177,36.61950588971749,127.49659485930336,20,5,충청북도,10.0,2.0,Y,Y,Y,Y,N,Y,Y,Y,Y,0.5,보통
A2300005,의료법인자산의료재단제천서울병원,충청북도 제천시 숭문로 57 (서부동),043-643-2327,37.13857101389598,128.20613928597675,20,2,충청북도,9.0,2.0,N,N,N,Y,N,Y,N,N,Y,0.45,보통
A2600068,의료법인장호의료재단녹동현대병원,전라남도 고흥군 도양읍 차경구렁목길 215,061-840-1119,34.5461939078177,127.14569777683867,5,2,전라남도,3.0,2.0,N,N,N,N,N,N,N,N,N,0.6,보통
A2300003,의료법인정산의료재단효성병원,충청북도 청주시 상당구 쇠내로 16 (금천동),043-221-2192,36.62455637262831,127.49558522201268,23,4,충청북도,13.0,3.0,N,Y,Y,Y,N,Y,Y,N,Y,0.5652173913043478,보통
A1700028,의료법인정안의료재단중앙병원,"울산광역시 남구 문수로 472, 중앙병원 (신정동)",052-226-1119,35.53208761614168,129.3048401436768,13,5,울산광역시,13.0,4.0,Y,Y,N,Y,N,N,N,N,Y,1.0,원활
A1200017,의료법인정화의료재단봉생기념병원,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",051-664-4119,35.13085783627095,129.0505708823645,11,8,부산광역시,8.0,5.0,Y,Y,Y,Y,N,Y,Y,N,Y,0.7272727272727273,원활
A2300030,의료법인조윤의료재단영동병원,충청북도 영동군 영동읍 대학로 106,043-740-9333,36.1852328446,127.7808325647,10,2,충청북도,10.0,2.0,N,N,N,N,N,N,N,N,N,1.0,원활
A2900006,의료법인중앙의료재단중앙병원,제주특별자치도 제주시 월랑로 91 (이호이동),064-786-7777,33.49234614827984,126.47058708143307,20,6,제주특별자치도,11.0,5.0,Y,Y,Y,Y,N,Y,N,N,Y,0.55,보통
A2600007,의료법인해민의료재단 세안종합병원,전라남도 목포시 고하대로 795-2 (연산동),061-260-6666,34.817030098221025,126.38033941552499,9,2,전라남도,7.0,2.0,N,N,N,N,N,N,N,N,N,0.7777777777777778,원활
A2500018,의료법인혜성병원,"전라북도 부안군 부안읍 부령로 33,",063-583-5001,35.73277494145881,126.74613942623456,12,1,전라북도,9.0,1.0,N,N,N,N,N,N,N,N,N,0.75,원활
A2800010,의료법인환명의료재단조은금강병원,경상남도 김해시 김해대로 1814-37 (삼계동),055-330-0200,35.2623038386,128.8615781975,10,4,경상남도,6.0,4.0,Y,N,N,N,N,Y,Y,N,Y,0.6,보통
A2300011,의료법인힐링의료재단옥천성모병원,충청북도 옥천군 옥천읍 성왕로 1195,043-730-7119,36.313345842294304,127.57197742757523,10,2,충청북도,6.0,1.0,N,N,N,N,N,N,N,N,Y,0.6,보통
A1200001,인제대학교부산백병원,"부산광역시 부산진구 복지로 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",051-890-5995,35.146454469689104,129.02057150748323,35,17,부산광역시,0.0,6.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.0,불가
A2100038,인제대학교일산백병원,경기도 고양시 일산서구 주화로 170 (대화동),031-910-9600,37.67436543525074,126.75031388046008,44,14,경기도,10.0,9.0,Y,Y,Y,Y,Y,Y,N0,N,Y,0.22727272727272727,혼잡
A1400017,인천광역시의료원,"인천광역시 동구 방축로 217 (송림동, 인천광역시 의료원)",032-580-6119,37.47884441174466,126.66861045817642,17,6,인천광역시,15.0,6.0,N,N,N,N,N,N,N,N,N,0.8823529411764706,원활
A1400016,인천사랑병원,인천광역시 미추홀구 미추홀대로 726 (주안동),032-457-2119,37.4620681991805,126.680345104401,21,6,인천광역시,12.0,6.0,Y,Y,Y,Y,N,Y,Y,Y,Y,0.5714285714285714,보통
A1403372,인천세종병원,인천광역시 계양구 계양문화로 20(작전동),032-240-8119,37.5325382832,126.7368531237,21,5,인천광역시,12.0,6.0,Y,Y,Y,Y,Y,Y,Y,N,Y,0.5714285714285714,보통
A2400011,재단법인아산사회복지재단보령아산병원,충청남도 보령시 죽성로 136 (죽정동),041-930-5333,36.38113998244595,126.62282846665184,10,2,충청남도,8.0,2.0,N,N,N,N,N,N,N,N,N,0.8,원활
A2600050,전라남도강진의료원,전라남도 강진군 강진읍 탐진로 5,061-430-1109,34.63681860822126,126.75789950922356,10,3,전라남도,10.0,3.0,N,N,N,N,N,N,N,N,N,1.0,원활
A2500007,전라북도군산의료원,"전라북도 군산시 의료원로 27 (지곡동,(지곡동, 군산의료원))",063-472-5130,35.95497072788432,126.71189936455204,23,6,전라북도,16.0,6.0,Y,Y,N,Y,N,Y,N,N,Y,0.6956521739130435,원활
A2500004,전라북도남원의료원,전라북도 남원시 충정로 365 (고죽동),063-620-1119,35.43189945917936,127.40719103150715,21,3,전라북도,16.0,2.0,N,N,N,N,N,Y,N,N,Y,0.7619047619047619,원활
A2900007,제주대학교병원,제주특별자치도 제주시 아란13길 15 (아라일동),064-717-1114,33.46727330825531,126.54525733713078,22,12,제주특별자치도,0.0,11.0,Y,Y,Y,Y,N,Y,Y,Y,Y,0.0,불가
A2900002,제주특별자치도서귀포의료원,제주특별자치도 서귀포시 장수로 47 (동홍동),064-730-3001,33.255354935811724,126.5642013167026,21,4,제주특별자치도,10.0,4.0,Y,N,Y,Y,N,Y,N,Y,Y,0.47619047619047616,보통
A2900001,제주한라병원,"제주특별자치도 제주시 도령로 65-  (연동, (연동))",064-740-5158,33.489946745300735,126.48507635686154,21,6,제주특별자치도,2.0,3.0,Y,Y,Y,Y,Y,Y,N,Y,Y,0.09523809523809523,불가
A1200026,좋은문화병원,부산광역시 동구 범일로 119 (범일동),051-630-0909,35.1407239889452,129.05906375734872,11,7,부산광역시,7.0,0.0,N,N,N,N,N,N,N,N,N,0.6363636363636364,원활
A2700007,차의과학대학교부속구미차병원,경상북도 구미시 신시로10길 12 (형곡동),054-450-9998,36.11452808183706,128.34054647885029,28,6,경상북도,11.0,6.0,Y,Y,Y,Y,N,Y,N,Y,N,0.39285714285714285,보통
A2100155,참조은병원,경기도 광주시 광주대로 45 (경안동),031-881-9119,37.41095382720454,127.26022384023878,21,7,경기도,4.0,5.0,Y,Y,Y,Y,N,Y,Y,N,Y,0.19047619047619047,혼잡
A1500011,첨단종합병원,광주광역시 광산구 첨단중앙로170번길 59 (쌍암동),062-601-8119,35.22113373578457,126.84530205666944,25,5,광주광역시,18.0,4.0,Y,N,N,Y,N,Y,Y,Y,Y,0.72,원활
A1600001,충남대학교병원,"대전광역시 중구 문화로 282 (대사동, 충남대학교병원)",042-280-8129,36.31696055071064,127.41546133417684,34,18,대전광역시,0.0,15.0,Y,Y,Y,Y,Y,Y,Y,N,Y,0.0,불가
